"OTU_Label","OTU_ID","Cluster","Division","Class","Order","Family","Genus","Species"
"Leathesia_ASV_8462","ASV_8462","C5","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Leathesia","Leathesia_difformis"
"Reckertia_ASV_15655","ASV_15655","C1","Rhizaria","Filosa-Imbricatea","Thaumatomonadida","Thaumatomonadidae","Reckertia","Reckertia_filosa"
"Ascidiella_ASV_17116","ASV_17116","C5","Opisthokonta","Urochordata","Urochordata_X","Ascidiacea","Ascidiella","Ascidiella_sp."
"Aplanochytrium_ASV_9331","ASV_9331","C1","Stramenopiles","Sagenista","Labyrinthulomycetes","Labyrinthulaceae","Aplanochytrium","Aplanochytrium_sp."
"Craticula_ASV_10145","ASV_10145","C2","Stramenopiles","Bacillariophyceae","Naviculales","Stauroneidaceae","Craticula","Craticula_importuna"
"Adineta_ASV_17598","ASV_17598","C3","Opisthokonta","Rotifera","Rotifera_X","Rotifera_XX","Adineta","Adineta_vaga"
"Pylaiella_ASV_8146","ASV_8146","C5","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Pylaiella","Pylaiella_littoralis"
"Spirotrichea_ASV_12539","ASV_12539","C1","Alveolata","Spirotrichea",NA,NA,NA,NA
"Halomonhystera_ASV_27076","ASV_27076","C2","Opisthokonta","Nematoda","Chromadorea","Chromadorea_X","Halomonhystera","Halomonhystera_sp."
"Endomyxa_ASV_22154","ASV_22154","C2","Rhizaria","Endomyxa","Vampyrellida",NA,NA,NA
"Disporella_ASV_17010","ASV_17010","C4","Opisthokonta","Bryozoa","Bryozoa_X","Bryozoa_XX","Disporella",NA
"Pterocystidae_ASV_21684","ASV_21684","C2","Centroplasthelida","Pterocystida","Pterista","Pterocystidae",NA,NA
"Polycera_ASV_19036","ASV_19036","C3","Opisthokonta","Mollusca","Gastropoda","Nudibranchia","Polycera","Polycera_quadrilineata"
"OTU_ASV_13187","ASV_13187","C5","Opisthokonta",NA,NA,NA,NA,NA
"Licmophora_ASV_9996","ASV_9996","C4","Stramenopiles","Bacillariophyceae","Licmophorales","Licmophoraceae","Licmophora",NA
"Bryozoa_XX_ASV_17870","ASV_17870","C3","Opisthokonta","Bryozoa","Bryozoa_X","Bryozoa_XX",NA,NA
"Amphora_ASV_11507","ASV_11507","C5","Stramenopiles","Bacillariophyceae","Thalassiophysales","Catenulaceae","Amphora","Amphora_coffeaeformis"
"Licmophora_ASV_9913","ASV_9913","C2","Stramenopiles","Bacillariophyceae","Licmophorales","Licmophoraceae","Licmophora","Licmophora_gracilis"
"Chlamydaster_ASV_21669","ASV_21669","C2","Centroplasthelida","Pterocystida","Pterista","Pterocystidae","Chlamydaster","Chlamydaster_sterni"
"Embryophyceae_XX_ASV_21512","ASV_21512","C2","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX",NA,NA
"OTU_ASV_16598","ASV_16598","C3","Opisthokonta",NA,NA,NA,NA,NA
"OTU_ASV_13628","ASV_13628","C1","Opisthokonta",NA,NA,NA,NA,NA
"Chromadorea_X_ASV_27082","ASV_27082","C3","Opisthokonta","Nematoda","Chromadorea","Chromadorea_X",NA,NA
"Chromadorina_ASV_18461","ASV_18461","C2","Opisthokonta","Nematoda","Chromadorea","Chromadorea_X","Chromadorina","Chromadorina_sp."
"Tisbe_ASV_13853","ASV_13853","C1","Opisthokonta","Arthropoda","Crustacea","Maxillopoda","Tisbe","Tisbe_sp."
"Ampullofolliculina_ASV_3611","ASV_3611","C2","Alveolata","Heterotrichea","Heterotrichea_X","Folliculinidae","Ampullofolliculina","Ampullofolliculina_lageniformis"
"Cymbella_ASV_11535","ASV_11535","C1","Stramenopiles","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella","Cymbella_acuta"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","ASV_23376","C1","Alveolata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp."
"Maxillopoda_ASV_13778","ASV_13778","C4","Opisthokonta","Arthropoda","Crustacea","Maxillopoda",NA,NA
"CCW10-lineage_X_ASV_13478","ASV_13478","C2","Rhizaria","Filosa-Thecofilosea","Ventricleftida","CCW10-lineage","CCW10-lineage_X","CCW10-lineage_X_sp."
"Gastrotricha_XX_ASV_16593","ASV_16593","C1","Opisthokonta","Gastrotricha","Gastrotricha_X","Gastrotricha_XX",NA,NA
"Phaeophyceae_XX_ASV_8496","ASV_8496","C1","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA
"Bacillariaceae_ASV_10164","ASV_10164","C2","Stramenopiles","Bacillariophyceae","Bacillariales","Bacillariaceae",NA,NA
"Ephelota_ASV_1020","ASV_1020","C4","Alveolata","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_sp."
